genre	filename	sentence1	sentence2	score
main-captions	MSRvid	Ett plan tar fart.	Ett luftplan tar fart.	5.0
main-captions	MSRvid	En man spelar en stor flöjt.	En man spelar en flöjt.	3.8
main-captions	MSRvid	En man sprider strimlad ost på en pizza.	En man sprider strimlad ost på en okokt pizza.	3.8
main-captions	MSRvid	Tre män spelar schack.	Två män spelar schack.	2.6
main-captions	MSRvid	En man spelar cello.	En sittande man spelar cello.	4.25
main-captions	MSRvid	Vissa män slåss.	Två män kämpar.	4.25
main-captions	MSRvid	En man röker.	En man åker skridskor.	0.5
main-captions	MSRvid	Mannen spelar piano.	Mannen spelar gitarr.	1.6
main-captions	MSRvid	En man spelar på en gitarr och sjunger.	En kvinna spelar en akustisk gitarr och sjunger.	2.2
main-captions	MSRvid	En person kastar en katt på taket.	En person kastar en katt på taket.	5.0
main-captions	MSRvid	Mannen slog den andra mannen med en pinne.	Mannen slog den andra mannen med en pinne.	4.2
main-captions	MSRvid	En kvinna plockar upp och håller en baby känguru.	En kvinna plockar upp och håller en baby känguru i armarna.	4.6
main-captions	MSRvid	En man spelar en flöjt.	En man spelar en bambuflöjt.	3.867
main-captions	MSRvid	En person fälls ett papper.	Någon fäller ett papper.	4.667
main-captions	MSRvid	En man springer på vägen.	En pandahund springer på vägen.	1.6669999999999998
main-captions	MSRvid	En hund försöker få bacon från ryggen.	En hund försöker äta baconet på ryggen.	3.75
main-captions	MSRvid	Isbjörnen glider på snön.	En isbjörn glider över snön.	5.0
main-captions	MSRvid	En kvinna skriver.	En kvinna simmar.	0.5
main-captions	MSRvid	En katt gnuggar mot barnets ansikte.	En katt gnuggar mot ett barn.	3.8
main-captions	MSRvid	Mannen rider på en häst.	En man rider på en häst.	5.0
main-captions	MSRvid	En man häller olja i en kruka.	En man häller vin i en kruka.	3.2
main-captions	MSRvid	En man spelar en gitarr.	En flicka spelar en gitarr.	2.8
main-captions	MSRvid	En panda glider ner en bild.	En panda glider ner en bild.	4.6
main-captions	MSRvid	En kvinna äter något.	En kvinna äter kött.	3.0
main-captions	MSRvid	En kvinna skalar en potatis.	En kvinna skalar en potatis.	5.0
main-captions	MSRvid	Pojken föll av cykeln.	En pojke faller av cykeln.	4.8
main-captions	MSRvid	Kvinnan spelar flöjten.	En kvinna spelar en flöjt.	5.0
main-captions	MSRvid	En kanin springer från en örn.	En hare springer från en örn.	4.2
main-captions	MSRvid	Kvinnan stekar en panerad fläskkotlett.	En kvinna lagar en panerad fläskkotlett.	4.2
main-captions	MSRvid	En flicka flyger en drake.	En flicka som springer flyger en drake.	4.0
main-captions	MSRvid	En man rider på en mekanisk tjur.	En man red en mekanisk tjur.	4.0
main-captions	MSRvid	Mannen spelar gitarr.	En man spelar en gitarr.	4.909
main-captions	MSRvid	En kvinna dansar och sjunger med andra kvinnor.	En kvinna dansar och sjunger i regnet.	3.0
main-captions	MSRvid	En man skär en bulle.	En man skär en lök.	2.4
main-captions	MSRvid	En man häller olja i en kastrull.	En man häller olja i en kastrull.	4.2
main-captions	MSRvid	Ett lejon leker med människor.	Ett lejon leker med två män.	3.4
main-captions	MSRvid	En hund rider på en skateboard.	En hund rider på skateboard.	5.0
main-captions	MSRvid	Någon snider en staty.	En man snider en staty.	3.75
main-captions	MSRvid	En kvinna skär en lök.	En man skär en lök.	2.75
main-captions	MSRvid	En kvinna skalar räkor.	En kvinna skalar räkor.	5.0
main-captions	MSRvid	En kvinna steker fisk.	En kvinna lagar fisk.	4.0
main-captions	MSRvid	En kvinna spelar en elektrisk gitarr.	En kvinna spelar en gitarr.	3.6
main-captions	MSRvid	En baby tiger leker med en boll.	En baby leker med en docka.	1.6
main-captions	MSRvid	En person skära en tomat.	En person skivar lite kött.	1.75
main-captions	MSRvid	En person skär en lök.	En person skär en lök.	5.0
main-captions	MSRvid	En man spelar piano.	En kvinna spelar fiolen.	1.0
main-captions	MSRvid	En kvinna spelar flöjten.	En man spelar gitarren.	1.0
